"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Cart Functionality","0","Cart Count and Operations","1","0","Cart is empty on login","0"
"0","Cart Functionality","0","Cart Count and Operations","1","0","Cart reset after logout","0"
"0","Checkout","0","Checkout Validations","4","0","Checkout validation errors","0"
"0","Cart Functionality","0","Cart Count and Operations","1","0","Remove one of multiple products","0"
"0","Cart Functionality","0","Cart Totals","4","0","","0"
"0","Product Listing","0","Sorting","4","0","Sorting products","0"
"0","Cart Functionality","0","Cart Count and Operations","1","0","Add two products to cart","0"
"0","Cart Functionality","0","Cart Count and Operations","1","0","Remove all products from cart","0"
"0","","0","","12","0","","0"
"0","Checkout","0","Checkout Flow","5","0","","0"
"0","Cart Functionality","0","Cart Count and Operations","1","0","Cart navigation","0"
"0","Cart Functionality","0","Cart Count and Operations","1","0","Remove from cart page","0"
"0","Cart Functionality","0","Cart Count and Operations","1","0","Add one product to cart","0"
