"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10018","Cart should be empty after user logs in","tests.cart","Sat Sep 27 12:56:48 GMT+07:00 2025","passed","Sat Sep 27 12:56:58 GMT+07:00 2025","TestCartCount","cart_count_test","",""
"","883","Cart should reset after logout and login again","tests.cart","Sat Sep 27 12:57:35 GMT+07:00 2025","passed","Sat Sep 27 12:57:35 GMT+07:00 2025","TestCartCount","cart_count_test","",""
"","216","Validate checkout form errors for missing/invalid data: John, , 12345","tests.checkout","Sat Sep 27 12:58:04 GMT+07:00 2025","passed","Sat Sep 27 12:58:04 GMT+07:00 2025","TestCheckoutValidations","checkout_validation_test","",""
"","168","Remove one product and check cart count","tests.cart","Sat Sep 27 12:57:05 GMT+07:00 2025","passed","Sat Sep 27 12:57:05 GMT+07:00 2025","TestCartCount","cart_count_test","",""
"","407","test_item_total_updates_on_add","tests.cart","Sat Sep 27 12:57:38 GMT+07:00 2025","passed","Sat Sep 27 12:57:38 GMT+07:00 2025","TestCartTotals","cart_total_test","",""
"","99","Test sorting dropdown: Price (high to low)","tests.sort","Sat Sep 27 12:59:26 GMT+07:00 2025","passed","Sat Sep 27 12:59:26 GMT+07:00 2025","TestSortingDropdown","sorting_dropdown_test","",""
"","86","Test sorting dropdown: Name (A to Z)","tests.sort","Sat Sep 27 12:59:19 GMT+07:00 2025","passed","Sat Sep 27 12:59:19 GMT+07:00 2025","TestSortingDropdown","sorting_dropdown_test","",""
"","103","Add two products by index and check cart count","tests.cart","Sat Sep 27 12:57:02 GMT+07:00 2025","passed","Sat Sep 27 12:57:03 GMT+07:00 2025","TestCartCount","cart_count_test","",""
"","10160","Remove all products and check cart is empty","tests.cart","Sat Sep 27 12:57:07 GMT+07:00 2025","passed","Sat Sep 27 12:57:17 GMT+07:00 2025","TestCartCount","cart_count_test","",""
"","642","test_all_items_link","tests.navigation","Sat Sep 27 12:58:30 GMT+07:00 2025","passed","Sat Sep 27 12:58:31 GMT+07:00 2025","TestNavigationMenu","test_navigation_menu","",""
"","1019","test_invalid_login[standard_user--Password is required]","tests.login","Sat Sep 27 12:58:13 GMT+07:00 2025","passed","Sat Sep 27 12:58:14 GMT+07:00 2025","","invalid_login_test","",""
"","370","test_missing_checkout_info","tests.checkout","Sat Sep 27 12:57:58 GMT+07:00 2025","passed","Sat Sep 27 12:57:59 GMT+07:00 2025","TestCheckoutFlow","checkout_flow_test","",""
"","100","Test sorting dropdown: Price (low to high)","tests.sort","Sat Sep 27 12:59:23 GMT+07:00 2025","passed","Sat Sep 27 12:59:24 GMT+07:00 2025","TestSortingDropdown","sorting_dropdown_test","",""
"","630","test_logout_link","tests.navigation","Sat Sep 27 12:59:16 GMT+07:00 2025","passed","Sat Sep 27 12:59:17 GMT+07:00 2025","TestNavigationMenu","test_navigation_menu","",""
"","92","Navigate to cart page and verify URL","tests.cart","Sat Sep 27 12:57:19 GMT+07:00 2025","passed","Sat Sep 27 12:57:20 GMT+07:00 2025","TestCartCount","cart_count_test","",""
"","639","test_logout","tests.logout","Sat Sep 27 12:58:27 GMT+07:00 2025","passed","Sat Sep 27 12:58:28 GMT+07:00 2025","TestLogout","logout_test","",""
"","20781","test_reset_app_state","tests.navigation","Sat Sep 27 12:58:39 GMT+07:00 2025","passed","Sat Sep 27 12:59:00 GMT+07:00 2025","TestNavigationMenu","test_navigation_menu","",""
